gewas,gewascode,count,cumulative count,cumulative percentage,percentage of total,validation,begindate,enddate,begin_days,end_days
"Bloemkool, zomer, productie",2797,518,744034,0.967560883,0.067362048,no,43876,43921,14,59
"Vaste planten, pot- en containerteelt,",1094,516,744550,0.968231902,0.067101962,yes,NA,NA,,
"Witte kool, productie",2789,508,745058,0.968892519,0.066061622,no,43911,43942,49,80
"Bonen, bruine-",242,485,745543,0.969523225,0.063070643,no,43952,43983,90,121
"Prei, winter, productie",2799,484,746027,0.970152631,0.0629406,no,NA,NA,,
"Spruitkool/spruitjes, productie",2777,459,746486,0.970749526,0.059689536,no,43905,43928,43,66
Pruimen,1870,459,746945,0.971346422,0.059689536,yes,NA,NA,,
"Hyacint, bloembollen en - knollen",999,458,747403,0.971942017,0.059559494,yes,,,-43862,-43862
"Knolselderij, productie",2725,446,747849,0.972522006,0.057998983,no,43928,43958,66,96
"Vlas, vezel-",3736,445,748294,0.973100696,0.057868941,no,43911,43928,49,66
"Broccoli, productie",2719,417,748711,0.973642973,0.054227749,no,43911,43972,49,110
"Bessen, blauwe",1869,401,749112,0.974164444,0.052147068,no,NA,NA,,
"Aardbeien open grond, productie",2702,382,749494,0.974661207,0.049676259,yes,,,-43862,-43862
Bloemzaden open grond,174,379,749873,0.975154068,0.049286131,no,unknown,unknown,,
Zonnebloemen,515,378,750251,0.975645629,0.049156089,no,43897,43972,35,110
"Maïs, suiker-",814,377,750628,0.976135889,0.049026046,no,43948,43968,86,106
"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit een ander gewas dan gras",344,363,750991,0.976607944,0.04720545,no,NA,NA,,
"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ",311,359,751350,0.977074797,0.04668528,no,43876,43928,14,66
